city_name	latitude	longitude	elevation
Dodoma, Tanzania	-6.179118	35.746817	1127.0
Doha, Qatar	25.285633	51.526416	10.0
Douglas, Isle of Man	54.149774	-4.477902	12.0
Dover, USA	39.158168	-75.524368	12.0
Dubai, United Arab Emirates	25.074282	55.188539	3.0
Dublin, Ireland	53.349379	-6.260559	11.0
Dushanbe, Tajikistan	38.576271	68.786357	836.0
Easter Island, Chile	-27.125932	-109.349589	131.0
Edinburgh, United Kingdom	55.953346	-3.188375	74.0
Edmonton, Canada	53.546205	-113.491241	672.0
Eucla, Australia	-31.676841	128.886516	99.0
Eureka, Canada	79.990159	-85.931368	15.0
Fairbanks, USA	64.828974	-147.669917	136.0
Fakaofo, Tokelau	-9.373559	-171.241483	0.0
Fort-de-France, Martinique	14.602796	-61.067672	3.0
Fortaleza, Brazil	-3.730451	-38.521799	22.0
Frankfurt, Germany	50.110644	8.682092	103.0
Freetown, Sierra Leone	8.479004	-13.26795	67.0
Funafuti, Tuvalu	-8.519963	179.198255	4.0
Gaborone, Botswana	-24.658136	25.908847	1010.0
Galapagos Islands, Ecuador	-0.628815	-90.363875	721.0
Geneva, Switzerland	46.201756	6.146601	400.0
George Town, Cayman Islands	19.311235	-81.385808	5.0
Georgetown, Guyana	6.813743	-58.162447	3.0
Gibraltar, Gibraltar	36.128569	-5.344413	302.0
Gitega, Burundi	-3.428495	29.924972	1688.0
Glasgow, United Kingdom	55.861155	-4.250169	18.0
Grise Fiord, Canada	76.418772	-82.901525	7.0
Guadalajara, Mexico	20.672037	-103.338396	1545.0
Guatemala City, Guatemala	14.641614	-90.513284	1501.0
Guayaquil, Ecuador	-2.190056	-79.886874	10.0
Hagåtña, Guam	13.472745	144.752018	7.0
Halifax, Canada	44.648618	-63.585949	47.0
Hamilton, Bermuda	32.294268	-64.785317	12.0
Hanoi, Vietnam	21.028333	105.854041	11.0
Happy Valley-Goose Bay, Canada	53.296435	-60.311189	14.0
Harare, Zimbabwe	-17.831773	31.045686	1473.0
Hartford, USA	41.764582	-72.690855	20.0
Havana, Cuba	23.135305	-82.358963	12.0
Helsinki, Finland	60.167488	24.942747	14.0
Hermosillo, Mexico	29.094821	-110.96922	210.0
Ho Chi Minh, Vietnam	10.77639	106.701139	16.0
Hobart, Australia	-42.882509	147.328123	21.0
Hong Kong, Hong Kong	22.279328	114.162813	24.0
Honiara, Solomon Islands	-9.437798	159.962417	14.0
Honolulu, USA	21.304547	-157.855676	4.0
Houston, USA	29.758938	-95.367697	21.0
Hovd, Mongolia	46.899798	92.295965	2758.0
Indianapolis, USA	39.768333	-86.15835	219.0
Indore, India	22.720362	75.8682	557.0
Inuvik, Canada	68.360263	-133.720386	30.0
Irkutsk, Russia	56.637012	104.719221	513.0
Islamabad, Pakistan	33.693812	73.065151	539.0
Istanbul, Turkey	41.076602	29.052495	0.0
Ittoqqortoormiit, Greenland	70.485059	-21.964199	41.0
Izhevsk, Russia	56.866557	53.209417	161.0
Jackson, USA	32.299869	-90.183041	94.0
Jakarta, Indonesia	-6.116662	106.778631	7.0
Jamestown, Saint Helena	-15.92773	-5.716087	35.0
Jayapura, Indonesia	-2.538754	140.703739	75.0
Jerusalem, Israel	31.778824	35.225763	793.0
Johannesburg, South Africa	-26.205	28.049722	1734.0
Juba, South Sudan	4.845925	31.595917	498.0
Juneau, USA	58.30195	-134.419734	11.0
Kabul, Afghanistan	34.526011	69.177684	1804.0
Kaliningrad, Russia	54.704648	20.456567	0.0
Kampala, Uganda	0.317714	32.581354	1237.0
Kangerlussuaq, Greenland	72.435405	-55.295091	0.0
Kansas City, USA	39.100105	-94.578142	281.0
Karachi, Pakistan	24.854684	67.020706	8.0
Kathmandu, Nepal	27.708317	85.320582	1296.0
Kazan, Russia	55.782355	49.124227	54.0
Kemi, Finland	65.73334	24.56665	11.0
Khartoum, Sudan	15.563597	32.534912	384.0
Khatanga, Russia	71.981921	102.471476	25.0
Kigali, Rwanda	-1.88596	30.129675	1519.0
Kingston, Jamaica	17.971215	-76.792813	13.0
Knoxville, USA	35.960395	-83.921026	276.0
Kobe, Japan	34.693238	135.194376	13.0
Kolkata, India	22.572646	88.363895	12.0
Komsomolsk-on-Amur, Russia	50.549728	137.009919	31.0
Krasnoyarsk, Russia	56.009117	92.872586	162.0
Kuala Lumpur, Malaysia	3.139571	101.693622	44.0
Kuujjuaq, Canada	58.106686	-68.403878	25.0
Kuwait City, Kuwait	29.379653	47.973417	6.0
Kyiv, Ukraine	50.450034	30.524136	156.0
Kyoto, Japan	35.021041	135.755607	56.0
La Paz, Bolivia	-16.495545	-68.133623	3645.0
Lagos, Nigeria	6.455057	3.394179	8.0
Lahore, Pakistan	31.565682	74.314183	214.0
Las Vegas, USA	36.167256	-115.148516	620.0
Lhasa, China	29.654205	91.117301	3648.0
Libreville, Gabon	0.408652	9.441885	6.0
Lilongwe, Malawi	-13.987511	33.768144	1051.0
Lima, Peru	-12.062107	-77.036526	140.0
Lincoln, USA	40.808886	-96.707775	360.0
Lisbon, Portugal	38.707751	-9.136592	7.0
Little Rock, USA	34.746507	-92.289627	102.0
Ljubljana, Slovenia	46.050027	14.506929	298.0
Lomé, Togo	6.130419	1.215829	5.0
London, United Kingdom	51.507446	-0.127765	16.0
Longyearbyen, Norway	78.223156	15.646366	7.0
Los Angeles, USA	34.053691	-118.242766	96.0
Louisville, USA	38.254238	-85.759407	144.0
Luanda, Angola	-8.82727	13.243951	75.0
Ludhiana, India	30.909016	75.851601	249.0
Lusaka, Zambia	-15.416339	28.281841	1280.0
Luxembourg, Luxembourg	49.611277	6.129799	315.0
Madison, USA	43.074761	-89.383761	295.0
Madrid, Spain	40.423728	-3.689904	656.0
Madurai, India	9.926115	78.114098	139.0
Magadan, Russia	59.560477	150.798862	88.0
Majuro, Marshall Islands	7.090992	171.381635	4.0
Makassar, Indonesia	-5.134296	119.412428	6.0
Makkah, Saudi Arabia	21.420847	39.826869	308.0
Malabo, Equatorial Guinea	3.741877	8.774066	56.0
Male, Maldives	4.177988	73.510739	5.0
Manado, Indonesia	1.490058	124.840871	12.0
Managua, Nicaragua	12.154404	-86.273764	55.0
Manama, Bahrain	26.223504	50.582244	4.0
Manaus, Brazil	-3.131633	-59.982504	44.0
Manila, Philippines	14.590635	120.979996	4.0
Manokwari, Indonesia	-0.861446	134.076732	34.0
Maputo, Mozambique	-25.966213	32.56745	15.0
Mary's Harbour, Canada	52.266917	-55.848658	6.0
Maseru, Lesotho	-29.310054	27.478222	1538.0
Mazatlan, Mexico	23.203578	-106.420839	14.0
Mbabane, Eswatini	-26.325745	31.144663	1165.0
Medina, Saudi Arabia	24.471153	39.611122	608.0
Melbourne, Australia	-37.814245	144.963173	18.0
Mexicali, Mexico	32.640525	-115.474899	5.0
Mexico City, Mexico	19.43263	-99.133178	2230.0
Miami, USA	25.774173	-80.19362	6.0
Midland, USA	31.83688	-102.010377	830.0
Milan, Italy	45.464194	9.189635	145.0
Milwaukee, USA	43.038648	-87.909075	178.0
Minneapolis, USA	44.9773	-93.265469	267.0
Minsk, Belarus	53.902472	27.561823	215.0
Mogadishu, Somalia	2.034931	45.341918	14.0
Monaco, Monaco	43.731142	7.419758	62.0
Monrovia, Liberia	6.328034	-10.797788	3.0
Montevideo, Uruguay	-34.905892	-56.19131	37.0
Montgomery, USA	32.366966	-86.300648	78.0
Montpelier, USA	44.260224	-72.575036	161.0
Montréal, Canada	45.503182	-73.569806	51.0
Moroni, Comoros	-11.693126	43.254304	16.0
Moscow, Russia	55.625578	37.606392	192.0
Mumbai, India	19.081577	72.886628	11.0
Murmansk, Russia	68.970665	33.07497	25.0
Muscat, Oman	23.588202	58.382945	12.0
N'Djamena, Chad	12.119154	15.050276	296.0
Nagoya, Japan	35.185105	136.899844	14.0
Nairobi, Kenya	-1.283253	36.817245	1677.0
Nashville, USA	36.162277	-86.774298	137.0
Nassau, Bahamas	25.078227	-77.338344	3.0
Naypyidaw, Myanmar	19.754005	96.134498	125.0
New Delhi, India	28.613895	77.209006	214.0
New Orleans, USA	29.975998	-90.078213	3.0
New York, USA	40.712728	-74.006015	32.0
Newark, USA	40.735657	-74.172367	14.0
Ngerulmud, Palau	7.500645	134.624286	68.0
Niamey, Niger	13.524834	2.109823	212.0
Nicosia, Cyprus	35.17465	33.363878	146.0
Norilsk, Russia	69.344405	88.209615	85.0
Nouakchott, Mauritania	18.061892	-15.931148	2.0
Noumea, New Caledonia	-22.274526	166.442419	4.0
Novgorod, Russia	58.560959	31.280901	27.0
Novosibirsk, Russia	54.967814	82.951599	135.0
Nuku'alofa, Tonga	-21.13434	-175.201808	6.0
Nusantara, Indonesia	-0.973029	116.70879	37.0
Nuuk, Greenland	64.176683	-51.735936	27.0
Odesa, Ukraine	46.484302	30.732288	57.0
Oklahoma City, USA	35.472989	-97.517054	372.0
Omsk, Russia	54.991375	73.371529	90.0
Oral, Kazakhstan	51.20407	51.370786	35.0
Orlando, USA	28.542111	-81.37903	35.0
Osaka, Japan	34.619881	135.490357	6.0
Oslo, Norway	59.91333	10.73897	23.0
Ottawa, Canada	45.420878	-75.690111	67.0
Ouagadougou, Burkina Faso	12.368187	-1.527094	301.0
Palikir, Micronesia	6.920744	158.162714	81.0
Panama, Panama	8.559559	-81.130843	650.0
Paramaribo, Suriname	5.824176	-55.166281	6.0
Paris, France	48.85889	2.320041	38.0
Patna, India	25.609324	85.123525	56.0
Pensacola, USA	30.421309	-87.216915	20.0
Perm, Russia	58.014965	56.246723	135.0
Perth, Australia	-31.955893	115.860585	24.0
Petropavlovsk-Kamchatsky, Russia	53.019984	158.647136	21.0
Pevek, Russia	69.702817	170.274685	4.0
Philadelphia, USA	39.952724	-75.163526	12.0
Phnom Penh, Cambodia	11.573039	104.857807	10.0
Phoenix, USA	33.448437	-112.074141	333.0
Podgorica, Montenegro	42.441524	19.262108	48.0
Pond Inlet, Canada	72.697674	-77.957438	47.0
Ponta Delgada, Portugal	37.747574	-25.672678	60.0
Pontianak, Indonesia	-0.02269	109.344749	0.0
Port Louis, Mauritius	-20.162452	57.502804	15.0
Port Moresby, Papua New Guinea	-9.47433	147.15995	131.0
Port Vila, Vanuatu	-17.741497	168.315016	21.0
Port of Spain, Trinidad and Tobago	10.657268	-61.518017	5.0
Port-au-Prince, Haiti	18.547327	-72.339593	15.0
Port-aux-Francais, France	-49.353677	70.243567	23.0
Portland, USA	45.520247	-122.674194	19.0
Porto Novo, Benin	6.499072	2.625336	22.0
Prague, Czechia	50.059629	14.446459	231.0
Praia, Cabo Verde	14.916281	-23.50951	29.0
Pretoria, South Africa	-25.745928	28.18791	1325.0
Pristina, Kosovo	42.663877	21.164085	594.0
Providence, USA	41.823989	-71.412834	10.0
Pune, India	18.521374	73.854507	543.0
Punta Arenas, Chile	-53.162569	-70.907822	12.0
Pyongyang, North Korea	39.016798	125.747361	18.0
Qaanaaq, Greenland	77.468636	-69.222275	65.0
Quito, Ecuador	-0.220164	-78.512327	2824.0
Québec, Canada	46.813743	-71.208406	46.0
Rabat, Morocco	34.02236	-6.834022	24.0
Raleigh, USA	35.780398	-78.639099	113.0
Rapid City, USA	44.080604	-103.228023	990.0
Rarotonga, Cook Islands	-21.236831	-159.777474	288.0
Recife, Brazil	-8.058493	-34.884819	9.0
Regina, Canada	50.447973	-104.615876	580.0
Resolute Bay, Canada	74.67912	-94.842251	0.0
Reykjavik, Iceland	64.145981	-21.942237	7.0
Richmond, USA	37.538509	-77.43428	54.0
Riga, Latvia	56.949398	24.105185	17.0
Rio Branco, Brazil	-9.976536	-67.822078	156.0
Rio de Janeiro, Brazil	-22.911014	-43.209373	6.0
Riyadh, Saudi Arabia	24.638916	46.71601	587.0
Rome, Italy	41.89332	12.482932	42.0
Roseau, Dominica	15.424043	-61.341853	189.0
Rovaniemi, Finland	66.502566	25.73122	94.0
Sacramento, USA	38.581061	-121.493895	16.0
Saint George's, Grenada	12.053533	-61.751805	49.0
Saint John's, Antigua and Barbuda	17.118457	-61.844851	1.0
Saint John, Canada	45.278799	-66.058519	26.0
Saint-Petersburg, Russia	59.960674	30.158655	0.0
Salem, USA	44.939157	-123.033121	51.0
Salt Lake City, USA	40.75962	-111.886797	1305.0
Salvador, Brazil	-12.98225	-38.481277	34.0
Samara, Russia	53.219465	50.203932	143.0
San Diego, USA	32.71742	-117.162772	29.0
San Francisco, USA	37.779259	-122.419329	23.0
San Jose, Costa Rica	9.932543	-84.079578	1166.0
San Jose, USA	37.336166	-121.890591	34.0
San Juan, Puerto Rico	18.465299	-66.116666	33.0
San Marino, San Marino	43.945862	12.458306	386.0
San Salvador, El Salvador	13.698994	-89.191425	658.0
Sana, Yemen	15.35	44.2	2257.0
Santiago, Chile	-33.437776	-70.65045	563.0
Santo Domingo, Dominican Republic	18.480197	-69.942111	56.0
Sapporo, Japan	43.061936	141.354292	26.0
Sarajevo, Bosnia-Herzegovina	43.851977	18.386687	530.0
Seattle, USA	47.603832	-122.330062	40.0
Seoul, South Korea	37.566679	126.978291	34.0
Shenzhen, China	22.544574	114.054543	11.0
Singapore, Singapore	1.289918	103.851907	12.0
Sioux Falls, USA	43.547601	-96.729363	435.0
Skopje, North Macedonia	41.996182	21.431921	248.0
Sofia, Bulgaria	42.697703	23.321736	548.0
Srednekolymsk, Russia	67.455497	153.707146	25.0
Sri Jayawardenepura Kotte, Sri Lanka	6.888322	79.918741	2.0
St. John's, Canada	47.56147	-52.712616	34.0
St. Louis, USA	38.628028	-90.191015	147.0
St. Paul, USA	44.949749	-93.093103	237.0
Stanley, Falkland Islands	-51.693062	-57.856525	6.0
Stockholm, Sweden	59.325117	18.071093	23.0
Sucre, Bolivia	-19.047725	-65.259431	2798.0
Surabaya, Indonesia	-7.245972	112.737827	3.0
Surat, India	21.209489	72.831706	16.0
Suva, Fiji	-18.141588	178.442166	56.0
Suzhou, China	31.311123	120.621288	16.0
Sydney, Australia	-33.869844	151.208285	87.0
São Paulo, Brazil	-23.550651	-46.633382	768.0
São Tomé, Sao Tome and Principe	0.338924	6.731303	6.0
Taipei, Taiwan	25.03752	121.56368	11.0
Tallinn, Estonia	59.437216	24.745369	22.0
Tarawa, Kiribati	1.484554	172.968965	0.0
Tashkent, Uzbekistan	41.312336	69.278708	454.0
Tbilisi, Georgia	41.693459	44.801449	428.0
Tegucigalpa, Honduras	14.105743	-87.204005	942.0
Tehran, Iran	35.689252	51.3896	1171.0
Tel Aviv, Israel	32.0853	34.781806	17.0
Thimphu, Bhutan	27.471355	89.633673	2359.0
Thiruvananthapuram, India	8.488227	76.947551	18.0
Thule Air Base, Greenland	76.529947	-68.714564	63.0
Tijuana, Mexico	32.53174	-117.019529	24.0
Tiksi, Russia	71.636604	128.868546	26.0
Timbuktu, Mali	16.771909	-3.008727	274.0
Tirana, Albania	41.328148	19.818444	110.0
Tokyo, Japan	35.682194	139.762221	9.0
Topeka, USA	39.049011	-95.677556	288.0
Toronto, Canada	43.653482	-79.383935	97.0
Tripoli, Libya	32.896672	13.177792	11.0
Tromsø, Norway	69.651635	18.955859	16.0
Tunis, Tunisia	36.800207	10.185776	10.0
Tórshavn, Faroe Islands	62.012	-6.768	38.0
Ufa, Russia	54.726141	55.947499	172.0
Ulaanbaatar, Mongolia	47.940974	106.917964	1316.0
Unalaska, USA	53.925626	-166.574627	0.0
Vaduz, Liechtenstein	47.139286	9.522796	461.0
Valletta, Malta	35.898982	14.513676	49.0
Vancouver, Canada	49.260872	-123.113952	40.0
Varanasi, India	25.335649	83.007629	79.0
Vatican City, Vatican City State	41.903491	12.452835	55.0
Veracruz, Mexico	19.200343	-96.138357	12.0
Verkhoyansk, Russia	67.549507	133.387462	135.0
Victoria, Seychelles	-4.623208	55.452359	7.0
Vienna, Austria	48.185719	16.422159	170.0
Vientiane, Laos	17.964099	102.613371	172.0
Vilnius, Lithuania	54.687046	25.282911	111.0
Vladivostok, Russia	43.115068	131.885577	12.0
Warsaw, Poland	52.233717	21.071432	82.0
Washington DC, USA	38.895037	-77.036543	12.0
Wellington, New Zealand	-41.288795	174.777211	12.0
Whitehorse, Canada	60.721571	-135.054932	639.0
Windhoek, Namibia	-22.57761	17.077274	1664.0
Winnipeg, Canada	49.895537	-97.138458	232.0
Yakutsk, Russia	62.027408	129.731979	98.0
Yangon, Myanmar	16.796713	96.160992	12.0
Yaoundé, Cameroon	3.868987	11.521334	714.0
Yaren, Nauru	-0.546903	166.922353	35.0
Yekaterinburg, Russia	56.839104	60.60825	250.0
Yellowknife, Canada	62.454081	-114.377385	189.0
Yerevan, Armenia	40.177711	44.512623	988.0
Yokohama, Japan	35.444395	139.636773	11.0
Yuzhno-Sakhalinsk, Russia	46.957427	142.727438	35.0
Zagreb, Croatia	45.813097	15.977279	131.0
Zürich, Switzerland	47.374449	8.541042	416.0
Ürümqi, China	43.419754	87.319461	2078.0
McMurdo, Antarctica	-77.846323	166.668235	35.0
